,solver,instance,vertices,edges,propagating_vertices,omega,variables,constraints,run,lower_bound,upper_bound,gap,result,nodes,t_solver,callbacks,t_callback,lazy_constraints
4659,jovanovic,../inputs/case2848rte.graphml,2848,3442,1023,14,15831,35938,4,585.0,585,0.0,Optimal,178,7186807,0,0,0
4660,jovanovic,../inputs/case3120sp.graphml,3120,3684,798,3,15870,29522,0,881.0,881,0.0,Optimal,2551,45183963,0,0,0
4661,brimkov,../inputs/case2868rte.graphml,2868,3471,983,15,15921,21079,3,598.0,598,0.0,Optimal,1,913950,0,0,0
4662,forts,../inputs/case1951rte.graphml,1951,2375,651,6,6701,1951,1,417.0,417,0.0,Optimal,281665,83760567,115,394575,4591
4663,forts,../inputs/case6468rte.graphml,6468,8065,2384,3,22598,6468,2,1857.0,-1,100.0,Timeout,139906,900185838,157,5485453,24485
4664,jovanovic,../inputs/case_Texas.graphml,2000,2667,376,8,11023,24309,2,432.0,432,0.0,Optimal,4013,28491642,0,0,0
4665,brimkov,../inputs/case6470rte.graphml,6470,8066,2352,1,36453,45711,0,4235.0,4235,0.0,Optimal,5459,144112302,0,0,0
4666,brimkov,../inputs/case_Western.graphml,10024,12241,4106,1,58226,75508,0,5974.0,5974,0.0,Optimal,1,13222636,0,0,0
4667,forts,../inputs/case1888rte.graphml,1888,2308,681,1,6504,1888,2,1138.0,-1,100.0,Timeout,152013,900170736,232,3621938,27860
4668,brimkov,../inputs/case_Western.graphml,10024,12241,4106,5,58226,75508,2,1927.0,1932,0.002587991718426501,Timeout,14662,900766901,0,0,0
4669,forts,../inputs/case6495rte.graphml,6495,8084,2344,4,22663,6495,0,1560.0,1570,0.006369426751592357,Timeout,246840,900520484,608,7771682,21268
4670,jovanovic,../inputs/case1354pegase.graphml,1354,1710,422,13,7269,14491,4,311.0,311,0.0,Optimal,1,746572,0,0,0
4671,brimkov,../inputs/case13659pegase.graphml,13659,18625,4024,25,77073,93003,3,2721.0,2721,0.0,Optimal,1,4183148,0,0,0
4672,brimkov,../inputs/case2746wop.graphml,2746,3300,709,9,14133,12721,1,677.0,677,0.0,Optimal,39,1353260,0,0,0
4673,jovanovic,../inputs/case6515rte.graphml,6515,8104,2344,3,36664,81702,2,1927.0,1929,0.0010368066355624676,Timeout,22807,900575277,0,0,0
4674,cycles,../inputs/case39.graphml,39,46,10,1,163,78,3,29.0,29,0.0,Optimal,1,9056,13,537,85
4675,forts,../inputs/case145.graphml,145,422,71,18,989,145,1,18.0,18,0.0,Optimal,1,12777,15,6538,161
4676,brimkov,../inputs/case13659pegase.graphml,13659,18625,4024,19,77073,93003,2,2736.0,2736,0.0,Optimal,1,7043716,0,0,0
4677,brimkov,../inputs/case2383wp.graphml,2383,2886,552,8,12244,11450,1,594.0,594,0.0,Optimal,1,725183,0,0,0
4678,forts,../inputs/case1951rte.graphml,1951,2375,651,5,6701,1951,2,441.0,441,0.0,Optimal,44409,20619938,133,446205,5032
4679,jovanovic,../inputs/case14.graphml,14,20,2,4,73,111,4,3.0,3,0.0,Optimal,1,2256,0,0,0
4680,cycles,../inputs/case13659pegase.graphml,13659,18625,4024,14,63414,27318,1,2770.0,2770,0.0,Optimal,1765,17909952,96,809170,8572
4681,jovanovic,../inputs/case1888rte.graphml,1888,2308,681,9,10539,23454,2,375.0,375,0.0,Optimal,19,2725242,0,0,0
4682,brimkov,../inputs/case6515rte.graphml,6515,8104,2344,8,36664,46344,3,1324.0,1324,0.0,Optimal,1960,20700886,0,0,0
4683,cycles,../inputs/case_iceland118.graphml,189,203,110,2,869,378,1,83.0,83,0.0,Optimal,2050,175471,28,4318,355
4684,cycles,../inputs/case_GB2224.graphml,2224,2804,1367,5,11890,4448,3,359.0,359,0.0,Optimal,3030,9059643,60,168977,4773
4685,forts,../inputs/case1354pegase.graphml,1354,1710,422,3,4774,1354,0,467.0,467,0.0,Optimal,11171,13028581,470,678005,4967
4686,jovanovic,../inputs/case3012wp.graphml,3012,3566,726,9,15236,28158,2,755.0,755,0.0,Optimal,157,3730242,0,0,0
4687,cycles,../inputs/case_Western.graphml,10024,12241,4106,7,48202,20048,3,1849.0,1849,0.0,Optimal,86410,810795271,110,1247483,16345
4688,forts,../inputs/case6495rte.graphml,6495,8084,2344,1,22663,6495,0,3950.0,-1,100.0,Timeout,6865,900094211,454,40941322,135346
4689,jovanovic,../inputs/case6495rte.graphml,6495,8084,2344,12,36564,81356,4,1314.0,1314,0.0,Optimal,2489,110078222,0,0,0
4690,jovanovic,../inputs/case6468rte.graphml,6468,8065,2384,10,36499,81061,0,1292.0,1292,0.0,Optimal,1785,83138821,0,0,0
4691,forts,../inputs/case2848rte.graphml,2848,3442,1023,10,9732,2848,2,585.0,585,0.0,Optimal,1663,990786,31,458327,5128
